ts,datetime,symbol,long_exchange,short_exchange,direction,mode,funding_hl,funding_aster,spread_bps,notional_usd,expected_funding_bps,expected_net_bps,expected_net_usd,estimated_cost_bps,basis_bps,liquidity_score,stability_score,risk_score,horizon_hours,decision,reason
1778861485,2026-05-15T16:11:24.933750+00:00,HYPE,,hyperliquid,short,single,,,,25,0.006416125,-7.948671,-0.0198716775,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861546,2026-05-15T16:12:25.761820+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861546,2026-05-15T16:12:25.761820+00:00,ETH,,hyperliquid,short,single,,,,25,0.005523875,-7.955809,-0.0198895225,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861546,2026-05-15T16:12:25.761820+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861546,2026-05-15T16:12:25.761820+00:00,HYPE,,hyperliquid,short,single,,,,25,0.004523375,-7.963813,-0.0199095325,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861607,2026-05-15T16:13:26.594201+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861607,2026-05-15T16:13:26.594201+00:00,ETH,,hyperliquid,short,single,,,,25,0.006341,-7.949272,-0.01987318,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861607,2026-05-15T16:13:26.594201+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861607,2026-05-15T16:13:26.594201+00:00,HYPE,,hyperliquid,short,single,,,,25,0.003702625,-7.970379,-0.0199259475,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861668,2026-05-15T16:14:27.717502+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861668,2026-05-15T16:14:27.717502+00:00,ETH,,hyperliquid,short,single,,,,25,0.006590875,-7.947273,-0.0198681825,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861668,2026-05-15T16:14:27.717502+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861668,2026-05-15T16:14:27.717502+00:00,HYPE,,hyperliquid,short,single,,,,25,0.001980625,-7.984155,-0.0199603875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861728,2026-05-15T16:15:28.475612+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861728,2026-05-15T16:15:28.475612+00:00,ETH,,hyperliquid,short,single,,,,25,0.00600025,-7.951998,-0.019879995,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861728,2026-05-15T16:15:28.475612+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861728,2026-05-15T16:15:28.475612+00:00,HYPE,,hyperliquid,short,single,,,,25,0.001675375,-7.986597,-0.0199664925,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861789,2026-05-15T16:16:29.261770+00:00,BTC,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861789,2026-05-15T16:16:29.261770+00:00,ETH,,hyperliquid,short,single,,,,25,0.0047935,-7.961652,-0.01990413,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861789,2026-05-15T16:16:29.261770+00:00,SOL,,hyperliquid,short,single,,,,25,0.015625,-7.875,-0.0196875,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861789,2026-05-15T16:16:29.261770+00:00,HYPE,,hyperliquid,short,single,,,,25,0.0019995,-7.984004,-0.01996001,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861850,2026-05-15T16:17:30.015466+00:00,BTC,,hyperliquid,short,single,,,,25,0.015534,-7.875728,-0.01968932,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
1778861850,2026-05-15T16:17:30.015466+00:00,ETH,,hyperliquid,short,single,,,,25,0.003667375,-7.970661,-0.0199266525,8,0,1,0,0.4,8,NO_TRADE_COST_TOO_HIGH,NO_TRADE_COST_TOO_HIGH|carry_below_costs
