ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778884244,2026-05-15T22:30:44.160949+00:00,hyperliquid,SOL,-9.584e-07,-0.009584,,,,,
1778884244,2026-05-15T22:30:44.160949+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884300,2026-05-15T22:31:40.210411+00:00,hyperliquid,BTC,-1.7380375e-06,-0.017380375,,,,,
1778884300,2026-05-15T22:31:40.210411+00:00,hyperliquid,ETH,2.52225e-07,0.00252225,,,,,
1778884300,2026-05-15T22:31:40.210411+00:00,hyperliquid,SOL,-9.57375e-07,-0.00957375,,,,,
1778884300,2026-05-15T22:31:40.210411+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884304,2026-05-15T22:31:44.419778+00:00,hyperliquid,BTC,-1.7388875e-06,-0.017388875,,,,,
1778884304,2026-05-15T22:31:44.419778+00:00,hyperliquid,ETH,2.51775e-07,0.00251775,,,,,
1778884304,2026-05-15T22:31:44.419778+00:00,hyperliquid,SOL,-9.60075e-07,-0.00960075,,,,,
1778884304,2026-05-15T22:31:44.419778+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884361,2026-05-15T22:32:40.723967+00:00,hyperliquid,BTC,-1.7389375e-06,-0.017389375,,,,,
1778884361,2026-05-15T22:32:40.723967+00:00,hyperliquid,ETH,2.54025e-07,0.00254025,,,,,
1778884361,2026-05-15T22:32:40.723967+00:00,hyperliquid,SOL,-9.851875e-07,-0.009851875,,,,,
1778884361,2026-05-15T22:32:40.723967+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884365,2026-05-15T22:32:45.140325+00:00,hyperliquid,BTC,-1.7392625e-06,-0.017392625,,,,,
1778884365,2026-05-15T22:32:45.140325+00:00,hyperliquid,ETH,2.518e-07,0.002518,,,,,
1778884365,2026-05-15T22:32:45.140325+00:00,hyperliquid,SOL,-9.8285e-07,-0.0098285,,,,,
1778884365,2026-05-15T22:32:45.140325+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884421,2026-05-15T22:33:41.463016+00:00,hyperliquid,BTC,-1.7432e-06,-0.017432,,,,,
1778884421,2026-05-15T22:33:41.463016+00:00,hyperliquid,ETH,2.296875e-07,0.002296875,,,,,
1778884421,2026-05-15T22:33:41.463016+00:00,hyperliquid,SOL,-9.769e-07,-0.009769,,,,,
1778884421,2026-05-15T22:33:41.463016+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884426,2026-05-15T22:33:45.876360+00:00,hyperliquid,BTC,-1.7425375e-06,-0.017425375,,,,,
1778884426,2026-05-15T22:33:45.876360+00:00,hyperliquid,ETH,2.293125e-07,0.002293125,,,,,
1778884426,2026-05-15T22:33:45.876360+00:00,hyperliquid,SOL,-9.768125e-07,-0.009768125,,,,,
1778884426,2026-05-15T22:33:45.876360+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884482,2026-05-15T22:34:42.206041+00:00,hyperliquid,BTC,-1.7515625e-06,-0.017515625,,,,,
1778884482,2026-05-15T22:34:42.206041+00:00,hyperliquid,ETH,2.353625e-07,0.002353625,,,,,
1778884482,2026-05-15T22:34:42.206041+00:00,hyperliquid,SOL,-9.696375e-07,-0.009696375,,,,,
1778884482,2026-05-15T22:34:42.206041+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884487,2026-05-15T22:34:46.569979+00:00,hyperliquid,BTC,-1.75185e-06,-0.0175185,,,,,
1778884487,2026-05-15T22:34:46.569979+00:00,hyperliquid,ETH,2.34975e-07,0.00234975,,,,,
1778884487,2026-05-15T22:34:46.569979+00:00,hyperliquid,SOL,-9.7e-07,-0.0097,,,,,
1778884487,2026-05-15T22:34:46.569979+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884543,2026-05-15T22:35:42.715501+00:00,hyperliquid,BTC,-1.7374875e-06,-0.017374875,,,,,
1778884543,2026-05-15T22:35:42.715501+00:00,hyperliquid,ETH,2.54475e-07,0.00254475,,,,,
1778884543,2026-05-15T22:35:42.715501+00:00,hyperliquid,SOL,-9.453875e-07,-0.009453875,,,,,
1778884543,2026-05-15T22:35:42.715501+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778884547,2026-05-15T22:35:46.841610+00:00,hyperliquid,BTC,-1.7359625e-06,-0.017359625,,,,,
