ts,equity,open_pos,quotes,fills_min,pnl_min,pnl_hour,pnl_day,win_rate,avg_hold_s,wins,losses,stops,tps,max_holds,reconnections,wavelet_alerts,pick_rate
2026-05-10T20:42:56,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:43:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:43:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:43:59,6998.12,1,2,0,0.0,-1.123918,-1.882874,0.1778,324.6,8,37,0,2,43,0,0,0.2955
2026-05-10T20:44:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:44:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:44:59,7000.05,0,2,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:45:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:45:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:46:00,7000.05,0,2,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:46:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:46:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:47:00,7000.05,0,2,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:47:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:47:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:48:03,7000.05,0,2,0,0.0,0.810467,0.051511,0.1957,438.1,9,37,0,2,44,0,0,0.2462
2026-05-10T20:48:10,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
2026-05-10T20:48:43,4000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
